algorithm,n,exectime (ms)
quick-sort,10,0.777009
merge-sort,10,0.874821
heap-sort,10,1.358998
quick-sort,20,0.647059
heap-sort,20,0.719081
merge-sort,20,0.801759
merge-sort,30,0.611036
heap-sort,30,1.214048
quick-sort,30,1.333693
quick-sort,40,0.569795
merge-sort,40,0.748473
heap-sort,40,5.252144
heap-sort,50,0.751413
merge-sort,50,0.901454
quick-sort,50,1.210859
quick-sort,60,0.757017
merge-sort,60,0.890692
heap-sort,60,1.057721
merge-sort,70,0.659516
quick-sort,70,0.791352
heap-sort,70,0.984473
quick-sort,80,0.559907
heap-sort,80,0.752689
merge-sort,80,0.80695
quick-sort,90,0.661316
heap-sort,90,0.820996
merge-sort,90,1.055689
quick-sort,100,0.689159
heap-sort,100,0.768173
merge-sort,100,0.991165
heap-sort,110,0.965977
merge-sort,110,1.195576
quick-sort,110,1.644767
quick-sort,120,0.802837
merge-sort,120,0.898177
heap-sort,120,0.978439
quick-sort,130,0.642286
heap-sort,130,0.806728
merge-sort,130,0.936435
quick-sort,140,0.607823
heap-sort,140,0.795673
merge-sort,140,0.881763
quick-sort,150,0.704827
heap-sort,150,0.957222
merge-sort,150,1.131862
quick-sort,160,0.664464
heap-sort,160,0.937262
merge-sort,160,0.95619
merge-sort,170,0.963219
quick-sort,170,1.001025
heap-sort,170,1.508534
quick-sort,180,0.664903
heap-sort,180,0.86296
merge-sort,180,1.052793
quick-sort,190,0.624853
heap-sort,190,0.840221
merge-sort,190,1.037192
heap-sort,200,0.724939
quick-sort,200,1.059597
merge-sort,200,1.153749
quick-sort,210,0.691699
heap-sort,210,1.083392
merge-sort,210,1.296389
quick-sort,220,0.714434
heap-sort,220,0.764645
merge-sort,220,1.577502
quick-sort,230,0.638454
heap-sort,230,1.122499
merge-sort,230,1.3125
quick-sort,240,0.808135
heap-sort,240,0.96287
merge-sort,240,1.161323
quick-sort,250,0.648608
heap-sort,250,0.925694
merge-sort,250,1.277751
quick-sort,260,0.672612
heap-sort,260,0.850014
merge-sort,260,1.248892
quick-sort,270,0.696019
heap-sort,270,0.933007
merge-sort,270,1.236943
quick-sort,280,0.923944
merge-sort,280,2.504787
heap-sort,280,2.508552
quick-sort,290,0.90223
heap-sort,290,0.968023
merge-sort,290,1.323514
quick-sort,300,1.082896
merge-sort,300,1.47216
heap-sort,300,2.681449
quick-sort,310,0.729975
heap-sort,310,1.022778
merge-sort,310,1.536518
quick-sort,320,1.150369
heap-sort,320,1.101641
merge-sort,320,1.361411
quick-sort,330,0.988138
heap-sort,330,0.962325
merge-sort,330,1.564433
quick-sort,340,0.995654
heap-sort,340,0.967303
merge-sort,340,1.398685
quick-sort,350,0.69384
heap-sort,350,0.914801
merge-sort,350,1.358983
quick-sort,360,0.743554
heap-sort,360,0.952824
merge-sort,360,1.381099
quick-sort,370,0.747234
heap-sort,370,1.015561
merge-sort,370,1.401012
quick-sort,380,0.706059
heap-sort,380,0.962411
merge-sort,380,1.410107
quick-sort,390,0.700398
heap-sort,390,1.034537
merge-sort,390,1.528528
quick-sort,400,0.752589
heap-sort,400,0.984235
merge-sort,400,1.48822
quick-sort,410,0.837875
heap-sort,410,1.085463
merge-sort,410,1.571446
quick-sort,420,0.708671
heap-sort,420,0.979121
merge-sort,420,1.580942
quick-sort,430,0.74923
heap-sort,430,1.011325
merge-sort,430,1.495132
quick-sort,440,0.783809
heap-sort,440,1.148214
merge-sort,440,1.729979
quick-sort,450,0.744667
heap-sort,450,1.017023
merge-sort,450,1.544254
quick-sort,460,0.742078
heap-sort,460,1.0289
merge-sort,460,1.645916
quick-sort,470,0.763423
heap-sort,470,1.234043
merge-sort,470,3.245241
quick-sort,480,1.070744
heap-sort,480,1.253819
merge-sort,480,1.76241
quick-sort,490,0.882343
heap-sort,490,1.135196
merge-sort,490,1.747588
quick-sort,500,0.770993
heap-sort,500,1.073296
merge-sort,500,1.721753
quick-sort,510,0.812502
heap-sort,510,1.178716
merge-sort,510,1.739535
heap-sort,520,1.03824
quick-sort,520,1.17877
merge-sort,520,1.722651
quick-sort,530,0.822768
heap-sort,530,1.100727
merge-sort,530,1.911432
quick-sort,540,0.817614
heap-sort,540,1.119119
merge-sort,540,1.83555
quick-sort,550,1.268774
heap-sort,550,1.220292
merge-sort,550,1.885019
quick-sort,560,0.813888
heap-sort,560,1.178418
merge-sort,560,1.919964
quick-sort,570,0.805662
heap-sort,570,1.219533
merge-sort,570,2.04376
quick-sort,580,1.018125
heap-sort,580,1.174543
merge-sort,580,2.071359
quick-sort,590,0.901272
merge-sort,590,1.860073
heap-sort,590,1.168394
quick-sort,600,1.014169
heap-sort,600,1.113076
merge-sort,600,2.547873
quick-sort,610,1.084681
heap-sort,610,2.872711
merge-sort,610,3.288022
quick-sort,620,1.494401
heap-sort,620,1.751266
merge-sort,620,2.626843
quick-sort,630,0.943027
heap-sort,630,1.339919
merge-sort,630,2.277183
quick-sort,640,0.97307
heap-sort,640,1.245987
merge-sort,640,1.993493
quick-sort,650,1.073795
heap-sort,650,1.273481
merge-sort,650,2.073884
quick-sort,660,0.899886
heap-sort,660,1.246471
merge-sort,660,2.167906
quick-sort,670,0.891571
heap-sort,670,1.133216
merge-sort,670,2.315081
quick-sort,680,0.950168
heap-sort,680,1.263071
merge-sort,680,2.35595
quick-sort,690,0.890757
heap-sort,690,1.222667
merge-sort,690,2.203205
quick-sort,700,0.885612
heap-sort,700,1.158945
merge-sort,700,2.21617
quick-sort,710,1.040119
heap-sort,710,1.380312
merge-sort,710,2.205376
quick-sort,720,0.97204
heap-sort,720,1.308844
merge-sort,720,3.516171
quick-sort,730,1.052511
heap-sort,730,1.3822
merge-sort,730,2.491063
heap-sort,740,1.211666
quick-sort,740,1.366837
merge-sort,740,2.405407
quick-sort,750,1.001994
heap-sort,750,1.294203
merge-sort,750,2.205293
heap-sort,760,1.30889
quick-sort,760,1.335198
merge-sort,760,2.447129
quick-sort,770,0.931212
heap-sort,770,1.279164
merge-sort,770,2.358553
quick-sort,780,0.923198
heap-sort,780,1.338963
merge-sort,780,2.448331
quick-sort,790,1.1527
heap-sort,790,1.238602
merge-sort,790,2.313444
quick-sort,800,0.950423
heap-sort,800,1.251546
merge-sort,800,2.543025
quick-sort,810,0.940755
heap-sort,810,1.328123
merge-sort,810,2.538026
quick-sort,820,0.922625
heap-sort,820,1.333138
merge-sort,820,2.638611
quick-sort,830,0.933138
heap-sort,830,1.311552
merge-sort,830,2.494823
quick-sort,840,0.918238
heap-sort,840,1.369103
merge-sort,840,2.652658
quick-sort,850,1.03147
merge-sort,850,3.178511
heap-sort,850,3.686429
quick-sort,860,1.021006
heap-sort,860,1.867727
merge-sort,860,2.711591
quick-sort,870,1.081268
heap-sort,870,1.421475
merge-sort,870,2.519069
quick-sort,880,1.083937
heap-sort,880,1.482244
merge-sort,880,2.616654
quick-sort,890,1.059391
heap-sort,890,1.475263
merge-sort,890,2.539565
quick-sort,900,1.131589
heap-sort,900,1.526031
merge-sort,900,2.893628
quick-sort,910,0.99983
heap-sort,910,1.364128
merge-sort,910,2.690948
quick-sort,920,1.192591
heap-sort,920,1.887535
merge-sort,920,2.667427
quick-sort,930,1.022073
heap-sort,930,1.35603
merge-sort,930,3.179146
quick-sort,940,1.177297
heap-sort,940,1.561839
merge-sort,940,3.308562
quick-sort,950,1.265724
heap-sort,950,1.538331
merge-sort,950,2.946367
quick-sort,960,1.115434
heap-sort,960,1.524592
merge-sort,960,2.713849
quick-sort,970,1.059232
heap-sort,970,1.835008
merge-sort,970,2.923992
quick-sort,980,1.042175
heap-sort,980,1.397465
merge-sort,980,2.833396
quick-sort,990,1.244091
heap-sort,990,1.672185
merge-sort,990,2.882829
quick-sort,1000,1.075923
heap-sort,1000,1.455726
merge-sort,1000,2.942615
quick-sort,1010,1.12199
heap-sort,1010,1.471914
merge-sort,1010,3.280059
quick-sort,1020,1.34445
heap-sort,1020,2.083886
merge-sort,1020,3.150642
quick-sort,1030,1.107003
heap-sort,1030,1.596866
merge-sort,1030,3.026352
quick-sort,1040,1.066604
heap-sort,1040,1.789637
merge-sort,1040,3.278616
quick-sort,1050,1.331441
heap-sort,1050,1.586822
merge-sort,1050,4.105211
quick-sort,1060,1.168844
heap-sort,1060,1.584749
merge-sort,1060,3.132729
quick-sort,1070,1.093697
heap-sort,1070,1.412295
merge-sort,1070,3.273013
quick-sort,1080,1.11272
heap-sort,1080,1.869833
merge-sort,1080,3.58778
quick-sort,1090,1.206336
heap-sort,1090,1.538544
merge-sort,1090,3.053414
quick-sort,1100,1.143385
heap-sort,1100,1.545024
merge-sort,1100,3.267843
quick-sort,1110,1.104034
heap-sort,1110,1.602297
merge-sort,1110,3.327148
quick-sort,1120,1.920535
heap-sort,1120,2.996641
merge-sort,1120,3.656176
quick-sort,1130,1.218229
heap-sort,1130,1.68089
merge-sort,1130,3.528702
quick-sort,1140,1.099695
heap-sort,1140,1.638863
merge-sort,1140,3.289099
quick-sort,1150,1.238317
heap-sort,1150,1.744056
merge-sort,1150,3.503643
quick-sort,1160,1.265488
heap-sort,1160,1.766481
merge-sort,1160,3.49637
quick-sort,1170,1.291018
heap-sort,1170,1.808144
merge-sort,1170,3.561132
quick-sort,1180,2.161402
heap-sort,1180,2.707972
merge-sort,1180,4.694607
quick-sort,1190,1.8268
heap-sort,1190,14.485086
merge-sort,1190,17.324717
quick-sort,1200,1.364083
heap-sort,1200,1.765937
merge-sort,1200,3.75011
quick-sort,1210,1.305402
heap-sort,1210,1.762336
merge-sort,1210,3.924425
quick-sort,1220,1.362189
heap-sort,1220,1.877887
merge-sort,1220,4.142032
